name	description	GS DETAILS	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	34	0.486064657054536	1.42015614044964	0.0600343053173242	0.195232683505382	0	4141	CCT2,HSPA8,HSPE1,CHCHD4,HSPA14,HSPH1,PTGES3,DNAJC7,HSPA2,DNAJC18,HSPA1B,DNAJB1,HSPA1A,SELENOF,TOR1A,ST13,TOR1B
'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	38	0.487398758304682	1.45940233935395	0.0439932318104907	0.159770389090591	0	2852	CCT2,HSPA8,HSPE1,HSPD1,CHCHD4,HSPA14,HSPH1,PTGES3,DNAJC7,HSPA2,DNAJC18,HSPA1B,DNAJB1
1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE ACTIVITY%GOMF%GO:0003841	1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE ACTIVITY%GOMF%GO:0003841	1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE ACTIVITY%GOMF%GO:0003841	20	0.351992756505068	0.941055028611384	0.523722627737226	0.743704404470514	0	4620	GPAT3,ABHD5,MBOAT2,MBOAT1,CRLS1,AGPAT5,LCLAT1,GPAT2,LPGAT1,LPCAT3
10Q11 21Q11 23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP5352%HOMO SAPIENS	10Q11 21Q11 23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP5352%HOMO SAPIENS	10Q11 21Q11 23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP5352%HOMO SAPIENS	36	0.265092317745993	0.78731972468409	0.802030456852792	0.909879474549676	0	4308	PCNA,ELOA,DLD,DEK,OGDHL,DDX21,MYBBP1A,SF3B1,SMARCA5,MAPK8,ITCH,BAZ1B
10Q22Q23 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5402%HOMO SAPIENS	10Q22Q23 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5402%HOMO SAPIENS	10Q22Q23 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5402%HOMO SAPIENS	30	0.417117282275267	1.18834668573014	0.216845878136201	0.454853250958939	0	2223	BUB1B,RGR,ERBB4,LRIT1,RAD21,LRIT2,PPARG,PDS5B
11P11 2 COPY NUMBER VARIATION SYNDROME %WIKIPATHWAYS_20240210%WP5348%HOMO SAPIENS	11P11 2 COPY NUMBER VARIATION SYNDROME %WIKIPATHWAYS_20240210%WP5348%HOMO SAPIENS	11P11 2 COPY NUMBER VARIATION SYNDROME %WIKIPATHWAYS_20240210%WP5348%HOMO SAPIENS	33	0.237108046194462	0.688743091937072	0.925989672977625	0.978278748809165	0	2671	CHST6,PEX3,TIMP1,SLC25A17,NRXN1,B3GNT7,SYT13
15Q11Q13 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5407%HOMO SAPIENS	15Q11Q13 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5407%HOMO SAPIENS	15Q11Q13 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5407%HOMO SAPIENS	30	0.277295551112134	0.79000142917683	0.804659498207885	0.912050730304657	0	2742	FANCD2,TRPM1,STX1A,HDAC1,NSMCE1
16P11 2 DISTAL DELETION SYNDROME%WIKIPATHWAYS_20240210%WP4950%HOMO SAPIENS	16P11 2 DISTAL DELETION SYNDROME%WIKIPATHWAYS_20240210%WP4950%HOMO SAPIENS	16P11 2 DISTAL DELETION SYNDROME%WIKIPATHWAYS_20240210%WP4950%HOMO SAPIENS	20	0.36229219754571	0.968590654285666	0.485401459854015	0.713772431920004	0	743	IFITM1,KDR,PRMT1
16P11 2 PROXIMAL DELETION SYNDROME%WIKIPATHWAYS_20240210%WP4949%HOMO SAPIENS	16P11 2 PROXIMAL DELETION SYNDROME%WIKIPATHWAYS_20240210%WP4949%HOMO SAPIENS	16P11 2 PROXIMAL DELETION SYNDROME%WIKIPATHWAYS_20240210%WP4949%HOMO SAPIENS	49	0.476344228746448	1.51722922486969	0.0154222531212809	0.0730266589628971	0	4105	PCNA,FAM57B,CCT8,TCP1,CCT4,CCT7,CCT6A,HIRIP3,UNC13A,GDPD3,PPARG,EZR,TRAF2,PPP2CA,PAGR1,CASP8,PPP4R1,PPP2R5D,MAP2K3,PAXIP1,PARP4,HDAC3,PPP4R2,CORO1A
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP5345%HOMO SAPIENS	1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP5345%HOMO SAPIENS	1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP5345%HOMO SAPIENS	67	0.359188929392224	1.21018819602416	0.191176470588235	0.423266407981001	0	2384	IFIT1,ISG15,MCM2,SAMD11,NOC2L,VTN,PEX2,IFIH1,MRPL20,ELAVL1,INTS4,INTS13,AURKAIP1,INTS10,TRAF2
