name	description	GS DETAILS	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
1-PHOSPHATIDYLINOSITOL BINDING%GOMF%GO:0005545	1-PHOSPHATIDYLINOSITOL BINDING%GOMF%GO:0005545	1-PHOSPHATIDYLINOSITOL BINDING%GOMF%GO:0005545	15	-0.283666288966452	-0.734729317361215	0.828947368421053	0.92392938919148	0	15047	ZFYVE1
13Q12 12 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5406%HOMO SAPIENS	13Q12 12 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5406%HOMO SAPIENS	13Q12 12 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5406%HOMO SAPIENS	22	-0.401260857900442	-1.13709744910621	0.278761061946903	0.525389075373818	0	14752	SSPN,SNTA1,ATXN1,TRAF3,TRAF1
14-3-3 PROTEIN BINDING%GOMF%GO:0071889	14-3-3 PROTEIN BINDING%GOMF%GO:0071889	14-3-3 PROTEIN BINDING%GOMF%GO:0071889	29	-0.453375058189706	-1.37451086662608	0.0810810810810811	0.240944633954343	0	14958	IRS2,PRKCZ,DAB2IP,HLA-F,TP53,FOXK1,KLHL22,ZFP36L1,KIF13B,RIPOR1,SRPK2,NEK1,DDIT4,RPTOR
15Q25 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5408%HOMO SAPIENS	15Q25 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5408%HOMO SAPIENS	15Q25 COPY NUMBER VARIATION%WIKIPATHWAYS_20240210%WP5408%HOMO SAPIENS	26	-0.206682514527205	-0.610215347045506	0.984304932735426	0.998756831737072	0	13262	AP3D1,ZNF592,WHAMM,HOMER2,PDE8A,ZSCAN2,HTT,AP3S1,BNC1,SEC11A,BTBD1,WDR73,RYR1,SPCS2,C15orf40,ADAMTSL3,AGAP2,SYNJ1,SPCS1,RAF1,SPCS3,RYR2,NMB,AP3B2,DNM3,SHANK1
17Q12 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP5287%HOMO SAPIENS	17Q12 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP5287%HOMO SAPIENS	17Q12 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP5287%HOMO SAPIENS	47	-0.214096315104217	-0.726472473674544	0.917085427135678	0.972227443674454	0	14949	CACNB1,SLFN5,MMP28,FBXL20,TBC1D3L,LHX1,MLLT6,ACACA,PGAP3,SOCS7,PIP4K2B,EPOP,STARD3
1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS II (MAMMALIAN)%BIOCYC%PWY-6362	1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS II (MAMMALIAN)%BIOCYC%PWY-6362	1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS II (MAMMALIAN)%BIOCYC%PWY-6362	15	-0.36697286857475	-0.950503234629689	0.508771929824561	0.732386083318532	0	14725	ITPKC,INPPL1,INPP5D
1Q21 1 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP4905%HOMO SAPIENS	1Q21 1 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP4905%HOMO SAPIENS	1Q21 1 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP4905%HOMO SAPIENS	19	-0.459043953339576	-1.27294264964779	0.179203539823009	0.407640943549461	0	15114	GJA5,NBPF12,F11R,PRKAB2
2-OXOGLUTARATE METABOLIC PROCESS%GOBP%GO:0006103	2-OXOGLUTARATE METABOLIC PROCESS%GOBP%GO:0006103	2-OXOGLUTARATE METABOLIC PROCESS%GOBP%GO:0006103	15	-0.331028608994769	-0.857403341087609	0.642543859649123	0.816048914589061	0	14862	COL6A1,D2HGDH,ADHFE1,GPT2
2-OXOGLUTARATE-DEPENDENT DIOXYGENASE ACTIVITY%GOMF%GO:0016706	2-OXOGLUTARATE-DEPENDENT DIOXYGENASE ACTIVITY%GOMF%GO:0016706	2-OXOGLUTARATE-DEPENDENT DIOXYGENASE ACTIVITY%GOMF%GO:0016706	58	-0.392600146196957	-1.39877774868614	0.0742213885864406	0.226723379426524	0	14889	PLOD2,KDM4B,EGLN2,P4HA2,TET3,KDM6B,KDM4A,EGLN3,KDM6A,HSPBAP1,HR,PLOD1,KDM4C,PHF2,KDM2A,EGLN1,P3H3,HIF1AN,P4HB,KDM5C,KDM7A,TYW5,PHYH,TET2,KDM5D,PHF8,KDM3A
22Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP4657%HOMO SAPIENS	22Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP4657%HOMO SAPIENS	22Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240210%WP4657%HOMO SAPIENS	63	-0.269904500362696	-0.977770592290442	0.494764397905759	0.720719050594873	0	14963	CLTCL1,SREBF2,FOXA2,CDH15,RTL10,P2RX6,EGFR,FGFR2,SCARF2,ZDHHC8,KLHL22,HES1,CLDN1,ZNF74,ARVCF,DGCR2,RTN4R
